Membership No  Date Joined  Active  
    24467      2018-9-16    yes   
    96298      2020-2-11    yes   
    66413      2017-5-16    yes   
    18556      2020-11-20   no    
    83229      2016-11-6    no    
    37214      2018-10-5    yes   
    76599      2019-4-17    no    
    89755      2020-11-2    yes   
    29100      2017-10-1    no    
    95243      2016-7-1     yes   
    92008      2018-3-9     yes   
    66351      2015-4-25    no    
    77355      2019-8-4     no    
    58081      2018-5-9     yes   
    16290      2017-8-11    yes   
    52466      2019-7-17    no    
    52678      2015-4-13    yes   
    66197      2018-7-14    no    
    55380      2020-1-14    no    
    56986      2019-3-5     yes   
