Membership No  Date Joined  Active  
    21960      2019-10-3    yes   
    21400      2019-4-3     no    
    85142      2017-5-2     yes   
    39903      2019-11-6    yes   
    11070      2018-4-12    yes   
    95190      2017-6-17    no    
    48769      2020-5-5     no    
    55641      2015-11-10   no    
    59722      2017-7-5     yes   
    33220      2019-10-1    yes   
    10698      2019-10-8    no    
    51832      2016-12-19   yes   
    63554      2016-5-18    yes   
    14242      2019-11-15   no    
    39330      2020-10-9    no    
    91955      2018-8-19    yes   
    63273      2019-7-7     yes   
    82836      2016-5-20    no    
    85810      2019-9-13    yes   
    24936      2018-6-8     yes   
